"human_geneid","human_EnsemblID","human_Symbol","human_description","human_type_of_gene","mouse_EnsemblID","mouse_geneid"
1,"ENSG00000121410","A1BG","alpha-1-B glycoprotein","protein-coding","ENSMUSG00000022347",117586
9,"ENSG00000171428","NAT1","N-acetyltransferase 1","protein-coding","ENSMUSG00000025588",17960
13,"ENSG00000114771","AADAC","arylacetamide deacetylase","protein-coding","ENSMUSG00000027761",67758
14,"ENSG00000127837","AAMP","angio associated migratory cell protein","protein-coding","ENSMUSG00000006299",227290
15,"ENSG00000129673","AANAT","aralkylamine N-acetyltransferase","protein-coding","ENSMUSG00000020804",11298
16,"ENSG00000090861","AARS1","alanyl-tRNA synthetase 1","protein-coding","ENSMUSG00000031960",234734
18,"ENSG00000183044","ABAT","4-aminobutyrate aminotransferase","protein-coding","ENSMUSG00000057880",268860
19,"ENSG00000165029","ABCA1","ATP binding cassette subfamily A member 1","protein-coding","ENSMUSG00000015243",11303
20,"ENSG00000107331","ABCA2","ATP binding cassette subfamily A member 2","protein-coding","ENSMUSG00000026944",11305
22,"ENSG00000131269","ABCB7","ATP binding cassette subfamily B member 7","protein-coding","ENSMUSG00000031333",11306
23,"ENSG00000204574","ABCF1","ATP binding cassette subfamily F member 1","protein-coding","ENSMUSG00000038762",224742
24,"ENSG00000198691","ABCA4","ATP binding cassette subfamily A member 4","protein-coding","ENSMUSG00000028125",11304
25,"ENSG00000097007","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","protein-coding","ENSMUSG00000026842",11350
27,"ENSG00000143322","ABL2","ABL proto-oncogene 2, non-receptor tyrosine kinase","protein-coding","ENSMUSG00000026596",11352
28,"ENSG00000175164","ABO","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase","protein-coding","ENSMUSG00000015787",80908
29,"ENSG00000159842","ABR","ABR activator of RhoGEF and GTPase","protein-coding","ENSMUSG00000017631",109934
30,"ENSG00000060971","ACAA1","acetyl-CoA acyltransferase 1","protein-coding","ENSMUSG00000010651",235674
31,"ENSG00000275176","ACACA","acetyl-CoA carboxylase alpha","protein-coding","ENSMUSG00000020532",107476
32,"ENSG00000076555","ACACB","acetyl-CoA carboxylase beta","protein-coding","ENSMUSG00000042010",100705
33,"ENSG00000115361","ACADL","acyl-CoA dehydrogenase long chain","protein-coding","ENSMUSG00000026003",11363
34,"ENSG00000117054","ACADM","acyl-CoA dehydrogenase medium chain","protein-coding","ENSMUSG00000062908",11364
35,"ENSG00000122971","ACADS","acyl-CoA dehydrogenase short chain","protein-coding","ENSMUSG00000029545",11409
