"human_geneid","human_EnsemblID","human_Symbol","human_type_of_gene","human_description","marmoset_EnsemblID","marmoset_geneid","marmoset_Symbol","mouse_EnsemblID","mouse_geneid","mouse_Symbol","rhesus_macaque_EnsemblID","rhesus_macaque_geneid","rhesus_macaque_Symbol"
1,"ENSG00000121410","A1BG","protein-coding","alpha-1-B glycoprotein","ENSCJAG00000000314",100400383,"A1BG","ENSMUSG00000022347",117586,"A1bg","ENSMMUG00000012459",712737,"A1BG"
2,"ENSG00000175899","A2M","protein-coding","alpha-2-macroglobulin","ENSCJAG00000018648",100390764,"A2M",NA,NA,NA,NA,NA,NA
9,"ENSG00000171428","NAT1","protein-coding","N-acetyltransferase 1",NA,100397995,"NAT1","ENSMUSG00000025588",17960,"Nat1",NA,704019,"NAT1"
12,"ENSG00000196136","SERPINA3","protein-coding","serpin family A member 3",NA,NA,NA,NA,NA,NA,"ENSMMUG00000011218",574106,"SERPINA3"
13,"ENSG00000114771","AADAC","protein-coding","arylacetamide deacetylase",NA,NA,NA,"ENSMUSG00000027761",67758,"Aadac","ENSMMUG00000001664",709031,"AADAC"
14,"ENSG00000127837","AAMP","protein-coding","angio associated migratory cell protein","ENSCJAG00000010793",100387844,"AAMP","ENSMUSG00000006299",227290,"Aamp","ENSMMUG00000022812",700763,"AAMP"
15,"ENSG00000129673","AANAT","protein-coding","aralkylamine N-acetyltransferase","ENSCJAG00000013563",100406947,"AANAT","ENSMUSG00000020804",11298,"Aanat","ENSMMUG00000018970",706924,"AANAT"
16,"ENSG00000090861","AARS1","protein-coding","alanyl-tRNA synthetase 1","ENSCJAG00000014562",100385066,"AARS1","ENSMUSG00000031960",234734,"Aars1","ENSMMUG00000021653",709492,"AARS1"
18,"ENSG00000183044","ABAT","protein-coding","4-aminobutyrate aminotransferase","ENSCJAG00000017292",100409777,"ABAT","ENSMUSG00000057880",268860,"Abat","ENSMMUG00000046237",714017,"ABAT"
19,"ENSG00000165029","ABCA1","protein-coding","ATP binding cassette subfamily A member 1",NA,100403133,"ABCA1","ENSMUSG00000015243",11303,"Abca1","ENSMMUG00000020608",716146,"ABCA1"
20,"ENSG00000107331","ABCA2","protein-coding","ATP binding cassette subfamily A member 2",NA,100411477,"ABCA2","ENSMUSG00000026944",11305,"Abca2","ENSMMUG00000021434",721631,"ABCA2"
21,"ENSG00000167972","ABCA3","protein-coding","ATP binding cassette subfamily A member 3",NA,100402635,"ABCA3",NA,NA,NA,"ENSMMUG00000019242",696496,"ABCA3"
22,"ENSG00000131269","ABCB7","protein-coding","ATP binding cassette subfamily B member 7","ENSCJAG00000016979",100415470,"ABCB7","ENSMUSG00000031333",11306,"Abcb7","ENSMMUG00000015619",704034,"ABCB7"
23,"ENSG00000204574","ABCF1","protein-coding","ATP binding cassette subfamily F member 1",NA,100410425,"ABCF1","ENSMUSG00000038762",224742,"Abcf1","ENSMMUG00000001886",711864,"ABCF1"
24,"ENSG00000198691","ABCA4","protein-coding","ATP binding cassette subfamily A member 4","ENSCJAG00000017910",100393904,"ABCA4","ENSMUSG00000028125",11304,"Abca4","ENSMMUG00000013858",714054,"ABCA4"
25,"ENSG00000097007","ABL1","protein-coding","ABL proto-oncogene 1, non-receptor tyrosine kinase","ENSCJAG00000020525",100398414,"ABL1","ENSMUSG00000026842",11350,"Abl1","ENSMMUG00000012499",722449,"ABL1"
26,"ENSG00000002726","AOC1","protein-coding","amine oxidase copper containing 1","ENSCJAG00000020136",100414302,"AOC1",NA,NA,NA,"ENSMMUG00000020435",714112,"AOC1"
27,"ENSG00000143322","ABL2","protein-coding","ABL proto-oncogene 2, non-receptor tyrosine kinase",NA,100388523,"ABL2","ENSMUSG00000026596",11352,"Abl2","ENSMMUG00000006262",717037,"ABL2"
28,"ENSG00000175164","ABO","protein-coding","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase","ENSCJAG00000017944",100414456,"ABO","ENSMUSG00000015787",80908,"Abo","ENSMMUG00000015100",722252,"ABO"
29,"ENSG00000159842","ABR","protein-coding","ABR activator of RhoGEF and GTPase",NA,100385329,"ABR","ENSMUSG00000017631",109934,"Abr","ENSMMUG00000008130",721180,"ABR"
30,"ENSG00000060971","ACAA1","protein-coding","acetyl-CoA acyltransferase 1",NA,100412554,"ACAA1","ENSMUSG00000010651",235674,"Acaa1b","ENSMMUG00000000990",696743,"ACAA1"
31,"ENSG00000278540","ACACA","protein-coding","acetyl-CoA carboxylase alpha",NA,100397258,"ACACA","ENSMUSG00000020532",107476,"Acaca","ENSMMUG00000009349",714218,"ACACA"
32,"ENSG00000076555","ACACB","protein-coding","acetyl-CoA carboxylase beta",NA,100402980,"ACACB","ENSMUSG00000042010",100705,"Acacb","ENSMMUG00000022698",706909,"ACACB"
33,"ENSG00000115361","ACADL","protein-coding","acyl-CoA dehydrogenase long chain",NA,100414283,"ACADL","ENSMUSG00000026003",11363,"Acadl","ENSMMUG00000010515",711485,"ACADL"
34,"ENSG00000117054","ACADM","protein-coding","acyl-CoA dehydrogenase medium chain",NA,100391471,"ACADM","ENSMUSG00000062908",11364,"Acadm","ENSMMUG00000007220",705168,"ACADM"
35,"ENSG00000122971","ACADS","protein-coding","acyl-CoA dehydrogenase short chain",NA,100387870,"ACADS","ENSMUSG00000029545",11409,"Acads","ENSMMUG00000020648",698196,"ACADS"
36,"ENSG00000196177","ACADSB","protein-coding","acyl-CoA dehydrogenase short/branched chain",NA,100396089,"ACADSB","ENSMUSG00000030861",66885,"Acadsb","ENSMMUG00000000684",707487,"ACADSB"
37,"ENSG00000072778","ACADVL","protein-coding","acyl-CoA dehydrogenase very long chain",NA,100399197,"ACADVL","ENSMUSG00000018574",11370,"Acadvl","ENSMMUG00000010538",714326,"ACADVL"
38,"ENSG00000075239","ACAT1","protein-coding","acetyl-CoA acetyltransferase 1",NA,100389935,"ACAT1","ENSMUSG00000032047",110446,"Acat1","ENSMMUG00000001800",707653,"ACAT1"
39,"ENSG00000120437","ACAT2","protein-coding","acetyl-CoA acetyltransferase 2","ENSCJAG00000011777",100410799,"ACAT2",NA,NA,NA,"ENSMMUG00000012843",100427660,"ACAT2"
40,"ENSG00000108684","ASIC2","protein-coding","acid sensing ion channel subunit 2",NA,NA,NA,"ENSMUSG00000020704",11418,"Asic2","ENSMMUG00000011413",718204,"ASIC2"
41,"ENSG00000110881","ASIC1","protein-coding","acid sensing ion channel subunit 1","ENSCJAG00000021071",100399222,"ASIC1","ENSMUSG00000023017",11419,"Asic1","ENSMMUG00000006529",713320,"ASIC1"
43,"ENSG00000087085","ACHE","protein-coding","acetylcholinesterase (Yt blood group)",NA,100392257,"ACHE","ENSMUSG00000023328",11423,"Ache","ENSMMUG00000058568",713370,"ACHE"
47,"ENSG00000131473","ACLY","protein-coding","ATP citrate lyase","ENSCJAG00000014988",100405725,"ACLY","ENSMUSG00000020917",104112,"Acly","ENSMMUG00000018931",708501,"ACLY"
48,"ENSG00000122729","ACO1","protein-coding","aconitase 1",NA,100415290,"ACO1","ENSMUSG00000028405",11428,"Aco1","ENSMMUG00000008196",705075,"ACO1"
49,"ENSG00000100312","ACR","protein-coding","acrosin",NA,100406660,"ACR","ENSMUSG00000022622",11434,"Acr","ENSMMUG00000005592",716579,"ACR"
50,"ENSG00000100412","ACO2","protein-coding","aconitase 2",NA,NA,NA,"ENSMUSG00000022477",11429,"Aco2","ENSMMUG00000001454",707441,"ACO2"
51,"ENSG00000161533","ACOX1","protein-coding","acyl-CoA oxidase 1",NA,100401745,"ACOX1","ENSMUSG00000020777",11430,"Acox1","ENSMMUG00000014172",705197,"ACOX1"
52,"ENSG00000143727","ACP1","protein-coding","acid phosphatase 1","ENSCJAG00000011663",100388151,"ACP1","ENSMUSG00000044573",11431,"Acp1","ENSMMUG00000017097",721397,"ACP1"
53,"ENSG00000134575","ACP2","protein-coding","acid phosphatase 2, lysosomal",NA,100390060,"ACP2","ENSMUSG00000002103",11432,"Acp2","ENSMMUG00000015597",713744,"ACP2"
54,"ENSG00000102575","ACP5","protein-coding","acid phosphatase 5, tartrate resistant",NA,100392534,"ACP5","ENSMUSG00000001348",11433,"Acp5","ENSMMUG00000002974",715071,"ACP5"
55,"ENSG00000014257","ACP3","protein-coding","acid phosphatase 3","ENSCJAG00000003103",100407634,"ACP3","ENSMUSG00000032561",56318,"Acp3","ENSMMUG00000016004",717786,"ACP3"
56,"ENSG00000134940","ACRV1","protein-coding","acrosomal vesicle protein 1",NA,100405285,"ACRV1","ENSMUSG00000032110",11451,"Acrv1","ENSMMUG00000014812",713422,"ACRV1"
58,"ENSG00000143632","ACTA1","protein-coding","actin alpha 1, skeletal muscle","ENSCJAG00000011114",100395910,"ACTA1","ENSMUSG00000031972",11459,"Acta1","ENSMMUG00000022086",100426612,"ACTA1"
59,"ENSG00000107796","ACTA2","protein-coding","actin alpha 2, smooth muscle","ENSCJAG00000005576",100396597,"ACTA2","ENSMUSG00000035783",11475,"Acta2","ENSMMUG00000009341",100427024,"ACTA2"
60,"ENSG00000075624","ACTB","protein-coding","actin beta",NA,100406296,"ACTB","ENSMUSG00000029580",11461,"Actb","ENSMMUG00000011153",574285,"ACTB"
70,"ENSG00000159251","ACTC1","protein-coding","actin alpha cardiac muscle 1","ENSCJAG00000021047",100398865,"ACTC1","ENSMUSG00000068614",11464,"Actc1","ENSMMUG00000007027",697367,"ACTC1"
71,"ENSG00000184009","ACTG1","protein-coding","actin gamma 1",NA,100409006,"ACTG1","ENSMUSG00000062825",11465,"Actg1","ENSMMUG00000012054",713687,"ACTG1"
72,"ENSG00000163017","ACTG2","protein-coding","actin gamma 2, smooth muscle","ENSCJAG00000017882",100404219,"ACTG2","ENSMUSG00000059430",11468,"Actg2","ENSMMUG00000017683",707447,"ACTG2"
81,"ENSG00000130402","ACTN4","protein-coding","actinin alpha 4","ENSCJAG00000013777",100392168,"ACTN4","ENSMUSG00000054808",60595,"Actn4","ENSMMUG00000006429",693666,"ACTN4"
86,"ENSG00000136518","ACTL6A","protein-coding","actin like 6A",NA,100395988,"ACTL6A","ENSMUSG00000027671",56456,"Actl6a","ENSMMUG00000009742",708935,"ACTL6A"
87,"ENSG00000072110","ACTN1","protein-coding","actinin alpha 1",NA,100406377,"ACTN1","ENSMUSG00000015143",109711,"Actn1","ENSMMUG00000010767",711994,"ACTN1"
88,"ENSG00000077522","ACTN2","protein-coding","actinin alpha 2","ENSCJAG00000017702",100407884,"ACTN2","ENSMUSG00000052374",11472,"Actn2","ENSMMUG00000020471",710012,"ACTN2"
89,"ENSG00000248746","ACTN3","protein-coding","actinin alpha 3","ENSCJAG00000001334",100398280,"ACTN3","ENSMUSG00000006457",11474,"Actn3","ENSMMUG00000002494",713811,"ACTN3"
90,"ENSG00000115170","ACVR1","protein-coding","activin A receptor type 1",NA,100406595,"ACVR1","ENSMUSG00000026836",11477,"Acvr1","ENSMMUG00000018497",697935,"ACVR1"
91,"ENSG00000135503","ACVR1B","protein-coding","activin A receptor type 1B","ENSCJAG00000017891",100391614,"ACVR1B","ENSMUSG00000000532",11479,"Acvr1b","ENSMMUG00000046877",696587,"ACVR1B"
92,"ENSG00000121989","ACVR2A","protein-coding","activin A receptor type 2A","ENSCJAG00000012496",100397767,"ACVR2A","ENSMUSG00000052155",11480,"Acvr2a","ENSMMUG00000000042",707017,"ACVR2A"
93,"ENSG00000114739","ACVR2B","protein-coding","activin A receptor type 2B","ENSCJAG00000010067",100389244,"ACVR2B","ENSMUSG00000061393",11481,"Acvr2b","ENSMMUG00000018790",696071,"ACVR2B"
94,"ENSG00000139567","ACVRL1","protein-coding","activin A receptor like type 1","ENSCJAG00000017879",100391250,"ACVRL1","ENSMUSG00000000530",11482,"Acvrl1","ENSMMUG00000004982",696471,"ACVRL1"
95,"ENSG00000243989","ACY1","protein-coding","aminoacylase 1",NA,100386117,"ACY1","ENSMUSG00000023262",109652,"Acy1",NA,NA,NA
97,"ENSG00000119640","ACYP1","protein-coding","acylphosphatase 1","ENSCJAG00000020604",100387877,"ACYP1","ENSMUSG00000008822",66204,"Acyp1",NA,701268,"ACYP1"
98,"ENSG00000170634","ACYP2","protein-coding","acylphosphatase 2",NA,100896941,"ACYP2","ENSMUSG00000060923",75572,"Acyp2","ENSMMUG00000002152",716728,"ACYP2"
